Annotations,Speaker,Utterance,,,,
,%gra,1|4|DISCOURSE 2|4|AUX 3|4|ADVMOD 4|7|ROOT 5|4|OBJ 6|4|PUNCT 7|4|DISCOURSE 8|4|PUNCT,,,,
,%com,loose noise,,,,
POL,*BOB,please .,,,,
,%mor,intj|please .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,9,30,,
NOP,*CHI,you're a dinba@wp .,,,,
,%mor,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|a-Ind-Art noun|dinbap .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT,,,,
NOP,*BOB,come on we're playing mother and father you know .,,,,
,%mor,verb|come-Fin-Imp-S adp|on pron|we-Prs-Nom-P1~aux|be-Fin-Ind-Pres-P1 verb|play-Part-Pres-S noun|mother cconj|and noun|father pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 .,,,,
,%gra,1|10|ROOT 2|1|COMPOUND-PRT 3|5|NSUBJ 4|5|AUX 5|1|PARATAXIS 6|5|OBJ 7|8|CC 8|6|CONJ 9|10|NSUBJ 10|1|PARATAXIS 11|1|PUNCT,,,,
,%com,Glo sits on couch as Bob makes suggestion .,,,,
NOP,*CHI,yup .,,,,
,%mor,intj|yup .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,yup .,,,,
,%mor,intj|yup .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,do you know what ?,,,,
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|know-Inf-S pron|what-Int-S1 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%com,but Glo interrupts with her game . touches foot and limps across room as .,,,,
NOP,*CHI,oo .,,,,
,%mor,intj|oo .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,mother .,,,,
,%mor,noun|mother .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,9,45,,
NOP,*CHI,eeks eeks eek .,,,,
,%mor,noun|eek-Plur noun|eek-Plur noun|eek .,,,,
,%gra,1|3|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
,%par,<aft> shriek,,,,
NOP,*BOB,xxx .,,,,
NOP,*BOB,what happened ?,,,,
,%mor,pron|what-Int-S1 verb|happen-Fin-Ind-Past-S3 ?,,,,
,%gra,1|2|NSUBJ 2|2|ROOT 3|2|PUNCT,,,,
,%com,"Bob watches , slightly puzzled and asks .",,,,
NOP,*CHI,oo [!!] oo [!!] oo,[!!] oo,[!!] oo,[!!] oo,[!!] .
,%mor,intj|oo intj|oo intj|oo intj|oo intj|oo intj|oo .,,,,
,%gra,1|6|ROOT 2|1|DISCOURSE 3|1|DISCOURSE 4|1|DISCOURSE 5|1|DISCOURSE 6|1|DISCOURSE 7|1|PUNCT,,,,
,%com,Glo shrieks some more,,,,
,%par,<aft> shriek,,,,
NOP,*BOB,what happened ?,,,,
,%mor,pron|what-Int-S1 verb|happen-Fin-Ind-Past-S3 ?,,,,
,%gra,1|2|NSUBJ 2|2|ROOT 3|2|PUNCT,,,,
NOP,*CHI,oo I burned my toe burned my toe .,,,,
,%mor,intj|oo pron|I-Prs-Nom-S1 verb|burn-Fin-Ind-Past-S1 pron|my-Prs-Gen-S1 noun|toe verb|burn-Fin-Ind-Past-S3 pron|my-Prs-Gen-S1 noun|toe .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|8|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|3|XCOMP 7|8|NMOD-POSS 8|6|OBJ 9|3|PUNCT,,,,
,%com,Glo answers while standing on stool turning light switch,,,,
POL,*BOB,please don't do that [= turn switch on and off] .,,,,
,%mor,intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 .,,,,
,%gra,1|4|DISCOURSE 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,,,
,%com,Bob speaks and looks at light .,,,,
NOP,*CHI,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo doesn't pay much attention . Bob continues to look . at light Glo wanders around .,,,,
NOP,*BOB,or else somebody will get angry and then you might break it 0 [= switch] .,,,,
,%mor,cconj|or adv|else pron|somebody-Ind-S1 aux|will-Fin-S verb|get-Inf-S adj|angry-Pos-S1 cconj|and adv|then pron|you-Prs-Nom-S2 aux|might-Fin-S verb|break-Inf-S pron|it-Prs-Acc-S3 .,,,,
,%gra,1|5|CC 2|5|ADVMOD 3|5|NSUBJ 4|5|AUX 5|12|ROOT 6|5|XCOMP 7|11|CC 8|11|ADVMOD 9|11|NSUBJ 10|11|AUX 11|5|CONJ 12|11|OBJ 13|5|PUNCT,,,,
NOP,*CHI,hum .,,,,
,%mor,noun|hum .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,10,15,,
,%par,<aft> hum,,,,
NOP,*BOB,goodbye mother .,,,,
,%mor,noun|goodbye noun|mother .,,,,
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT,,,,
,%com,for the next 1 line(s),Bob looks pleased and starts goes to sack Bob has idea and tries again .,,,
,%par,<bef .> call,,,,
NOP,*CHI,goodbye father .,,,,
,%mor,noun|goodbye noun|father .,,,,
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT,,,,
,%par,<aft> call,,,,
NOP,*BOB,right that's who I .,,,,
,%mor,adv|right pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 pron|who-Rel-S1 pron|I-Prs-Nom-S1 .,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|COP 4|5|ROOT 5|4|ACL-RELCL 6|4|PUNCT,,,,
,%com,but Glo interrupts and he looses out again(no props this time),,,,
NOP,*CHI,no goodbye mother no you're the mother .,,,,
,%mor,det|no-Def noun|goodbye noun|mother intj|no pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|the-Def-Art noun|mother .,,,,
,%gra,1|3|DET 2|3|COMPOUND 3|8|ROOT 4|8|DISCOURSE 5|8|NSUBJ 6|8|COP 7|8|DET 8|3|PARATAXIS 9|3|PUNCT,,,,
,%tim,0,10,30,,
,%par,<4w> call,,,,
NOP,*BOB,no you're the mother I'm the father .,,,,
,%mor,intj|no pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|the-Def-Art noun|mother pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 det|the-Def-Art noun|father .,,,,
,%gra,1|5|DISCOURSE 2|5|NSUBJ 3|5|COP 4|5|DET 5|9|ROOT 6|9|NSUBJ 7|9|COP 8|9|DET 9|5|ACL-RELCL 10|5|PUNCT,,,,
,%com,Glo looks at picture but turns to look at her and speaks to her back .,,,,
NOP,*CHI,I'm the father .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 det|the-Def-Art noun|father .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT,,,,
NOP,*BOB,why I'm the mother ?,,,,
,%mor,adv|why pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 det|the-Def-Art noun|mother ?,,,,
,%gra,1|5|ROOT 2|5|NSUBJ 3|5|COP 4|5|DET 5|1|ADVCL-RELCL 6|1|PUNCT,,,,
,%com,he looks back at wheel . softer,,,,
NOP,*CHI,because you're +...,,,,
,%mor,sconj|because pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 +...,,,,
,%gra,1|3|MARK 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
NOP,*CHI,you're a girl .,,,,
,%mor,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|a-Ind-Art noun|girl .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT,,,,
NOP,*BOB,I'm not a girl .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not det|a-Ind-Art noun|girl .,,,,
,%gra,1|5|NSUBJ 2|5|COP 3|5|ADVMOD 4|5|DET 5|5|ROOT 6|5|PUNCT,,,,
,%com,clear and strong . Bob looking first in mirror and then at glo's back Bob keeps looking at Glo who is looking at pictures,,,,
NOP,*CHI,yes you are .,,,,
,%mor,intj|yes pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
,%par,sing song,,,,
NOP,*BOB,no I'm not .,,,,
,%mor,intj|no pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT,,,,
NOP,*CHI,yes you are .,,,,
,%mor,intj|yes pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
,%par,sing song,,,,
NOP,*BOB,then I will tell on ya .,,,,
,%mor,adv|then pron|I-Prs-Nom-S1 aux|will-Fin-S verb|tell-Inf-S adp|on pron|you-Prs-Acc-S2 .,,,,
,%gra,1|4|ADVMOD 2|4|NSUBJ 3|4|AUX 4|6|ROOT 5|6|CASE 6|4|OBL 7|4|PUNCT,,,,
,%com,only now does Glo turn to look at him .,,,,
NOP,*CHI,oh okay you're a boy .,,,,
,%mor,intj|oh intj|okay pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|a-Ind-Art noun|boy .,,,,
,%gra,1|6|DISCOURSE 2|6|DISCOURSE 3|6|NSUBJ 4|6|COP 5|6|DET 6|6|ROOT 7|6|PUNCT,,,,
,%com,Glo responds in normal tone,,,,
NOP,*BOB,alright mother .,,,,
,%mor,adj|alright-Pos-S1 noun|mother .,,,,
,%gra,1|2|AMOD 2|2|ROOT 3|2|PUNCT,,,,
NOP,*CHI,bye father .,,,,
,%mor,noun|bye noun|father .,,,,
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT,,,,
,%par,<aft> call,,,,
NOP,*BOB,bye bye mother .,,,,
,%mor,noun|bye noun|bye noun|mother .,,,,
,%gra,1|2|COMPOUND 2|3|COMPOUND 3|3|ROOT 4|3|PUNCT,,,,
,%par,<bef .> call,,,,
NOP,*BOB,ah I say get rid of this .,,,,
,%mor,intj|ah pron|I-Prs-Nom-S1 verb|say-Fin-Ind-Pres-S1 verb|get-Inf-S adj|rid-Pos-S1 adp|of pron|this-Dem-S1 .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|7|ROOT 4|3|CCOMP 5|4|XCOMP 6|7|CASE 7|5|OBL 8|3|PUNCT,,,,
,%tim,0,11,0,,
,%com,Bob happy now sits and steers . loud . Glo wanders around,,,,
NOP,*BOB,right .,,,,
,%mor,adv|right .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,I'm really havin(g) fun here .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|really verb|have-Part-Pres-S noun|fun adv|here .,,,,
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|6|ROOT 5|4|OBJ 6|4|ADVMOD 7|4|PUNCT,,,,
,%com,soft,,,,
NOP,*BOB,where's Joy .,,,,
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 noun|Joy .,,,,
,%gra,1|3|ADVMOD 2|3|COP 3|3|ROOT 4|3|PUNCT,,,,
NOP,*CHI,he's gonna get fixed up .,,,,
,%mor,pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gonna aux|get-Inf-S verb|fix-Part-Past-S adp|up .,,,,
,%gra,1|5|NSUBJ-PASS 2|5|AUX 3|5|ADVMOD 4|5|AUX-PASS 5|6|ROOT 6|5|COMPOUND-PRT 7|5|PUNCT,,,,
,%tim,0,11,15 00,11,30
,%com,Glo wanders,,,,
NOP,*BOB,do you know what ?,,,,
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|know-Inf-S pron|what-Int-S1 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%com,sound straight and,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,for the next 1 line(s),"Glo falls for it turning to Bob , and coming toward him . Bob laughs and says",,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,you're a nut .,,,,
,%mor,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 det|a-Ind-Art noun|nut .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT,,,,
,%com,"both giggle , shriek and Glo dashes at him",,,,
,%par,<bef .> loud laugh,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,11,45,,
,%par,<aft> laugh,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%par,<aft> laugh,,,,
NOP,*CHI,what's a nut what ?,,,,
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|nut pron|what-Rel-S1 ?,,,,
,%gra,1|5|ROOT 2|1|COP 3|5|DET 4|5|COMPOUND 5|1|NSUBJ 6|1|PUNCT,,,,
POL,*BOB,don't do that please .,,,,
,%mor,aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 intj|please .,,,,
,%gra,1|3|AUX 2|3|ADVMOD 3|5|ROOT 4|3|OBJ 5|3|DISCOURSE 6|3|PUNCT,,,,
,%com,as Glo takes wheel Bob speaks more conversationally asking her not to mess with wheel and horn,,,,
POL,*BOB,please .,,,,
,%mor,intj|please .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
POL,*BOB,please don't do that .,,,,
,%mor,intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 .,,,,
,%gra,1|4|DISCOURSE 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,,,
,%tim,0,12,0,,
,%par,<bef .> pleading,,,,
NOP,*CHI,honk honk .,,,,
,%mor,verb|honk-Fin-Imp-S noun|honk .,,,,
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT,,,,
POL,*BOB,please don't do that then if you do it then I won't be your friend .,,,,
,%mor,intj|please aux|do-Fin-Imp-S~part|not verb|do-Fin-Imp-S pron|that-Dem-S1 adv|then sconj|if pron|you-Prs-Nom-S2 verb|do-Fin-Ind-Pres-S2 pron|it-Prs-Acc-S3 adv|then pron|I-Prs-Nom-S1 aux|will-Fin-S~part|not aux|be-Inf-S pron|your-Prs-Gen-S2 noun|friend .,,,,
,%gra,1|4|DISCOURSE 2|4|AUX 3|4|ADVMOD 4|17|ROOT 5|4|OBJ 6|17|ADVMOD 7|9|MARK 8|9|NSUBJ 9|17|ADVCL 10|9|OBJ 11|17|ADVMOD 12|17|NSUBJ 13|17|AUX 14|17|ADVMOD 15|17|COP 16|17|NMOD-POSS 17|4|PARATAXIS 18|4|PUNCT,,,,
,%com,<6w-10w> threat <1w-5w> is almost pleading .,,,,
NOP,*CHI,&-umk .,,,,
,%com,"<aft> Glo goes to table to sack , to (pause) wall . Glo accepts",,,,
NOP,*BOB,mother .,,,,
,%mor,noun|mother .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Bob calls out .,,,,
,%par,<bef .> call,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,12,15,,
,%com,Glo answers back to him . Bob doesn't follow through .,,,,
,%par,<aft> calls,,,,
NOP,*CHI,here what's this ?,,,,
,%mor,adv|here pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?,,,,
,%gra,1|4|ROOT 2|4|NSUBJ 3|4|COP 4|1|NSUBJ 5|1|PUNCT,,,,
,%com,for the next 1 line(s),Glo looks in sack and speaks,,,
NOP,*CHI,oh a hat .,,,,
,%mor,intj|oh det|a-Ind-Art noun|hat .,,,,
,%gra,1|3|DISCOURSE 2|3|DET 3|3|ROOT 4|3|PUNCT,,,,
NOP,*BOB,put it on .,,,,
,%mor,verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adv|on .,,,,
,%gra,1|3|ROOT 2|1|OBJ 3|1|ADVMOD 4|1|PUNCT,,,,
,%com,"Bob watches , Glo puts on hat and goes to mirror",,,,
NOP,*CHI,how do I look with this hat on ?,,,,
,%mor,adv|how aux|do-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 verb|look-Inf-S adp|with det|this-Def-Dem noun|hat adv|on ?,,,,
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|8|ROOT 5|7|CASE 6|7|DET 7|4|OBL 8|4|ADVMOD 9|4|PUNCT,,,,
NOP,*BOB,silly oh I need a tissue .,,,,
,%mor,adj|silly-Pos-S1 intj|oh pron|I-Prs-Nom-S1 verb|need-Fin-Ind-Pres-S1 det|a-Ind-Art noun|tissue .,,,,
,%gra,1|6|ROOT 2|4|DISCOURSE 3|4|NSUBJ 4|1|PARATAXIS 5|6|DET 6|4|OBJ 7|1|PUNCT,,,,
,%tim,0,12,30,,
NOP,*CHI,lemme see .,,,,
,%mor,intj|lemme verb|see-Fin-Imp-S .,,,,
,%gra,1|2|DISCOURSE 2|2|ROOT 3|2|PUNCT,,,,
NOP,*BOB,wait I'll get a tissue .,,,,
,%mor,verb|wait-Fin-Imp-S pron|I-Prs-Nom-S1~aux|will-Fin-S verb|get-Inf-S det|a-Ind-Art noun|tissue .,,,,
,%gra,1|6|ROOT 2|4|NSUBJ 3|4|AUX 4|1|CCOMP 5|6|DET 6|4|OBJ 7|1|PUNCT,,,,
,%com,"Glo takes off hat passes back by Bob and watches while he gets tissue out of pocket , goes on over to table . Bob sneezes .",,,,
NOP,*CHI,xxx .,,,,
NOP,*BOB,oh I gotta cook dinner oh I gotta cook dinner boy oh_boy I cook I better cook dinner .,,,,
,%mor,intj|oh pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|cook-Inf-S noun|dinner intj|oh pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|cook-Inf-S noun|dinner noun|boy noun|ohboy pron|I-Prs-Nom-S1 verb|cook-Fin-Ind-Pres-S1 pron|I-Prs-Nom-S1 adv|well verb|cook-Fin-Ind-Pres-S1 noun|dinner .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|18|ROOT 5|4|OBJ 6|9|DISCOURSE 7|9|NSUBJ 8|9|AUX 9|4|PARATAXIS 10|11|COMPOUND 11|12|COMPOUND 12|9|OBJ 13|14|NSUBJ 14|4|PARATAXIS 15|17|NSUBJ 16|17|ADVMOD 17|14|CCOMP 18|17|OBJ 19|4|PUNCT,,,,
,%tim,0,12,45,,
,%com,for the next 1 line(s),is pretty much to himself . Glo doesn't turn around . Glo kneels by table as Bob sees stove he speaks and moves over to it,,,
NOP,*BOB,I need food where's the food ?,,,,
,%mor,pron|I-Prs-Nom-S1 verb|need-Fin-Ind-Pres-S1 noun|food adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|food ?,,,,
,%gra,1|2|NSUBJ 2|7|ROOT 3|2|OBJ 4|2|CCOMP 5|4|COP 6|7|DET 7|4|NSUBJ 8|2|PUNCT,,,,
,%com,"called , high level intonation Bob looks around for food",,,,
,%par,<bef .> call,,,,
NOP,*BOB,where's the food ?,,,,
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|food ?,,,,
,%gra,1|4|ROOT 2|1|COP 3|4|DET 4|1|NSUBJ 5|1|PUNCT,,,,
,%com,rising differs in intonation,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo speaks slowly,,,,
NOP,*BOB,where's the food ?,,,,
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|food ?,,,,
,%gra,1|4|ROOT 2|1|COP 3|4|DET 4|1|NSUBJ 5|1|PUNCT,,,,
,%com,for the next 2 line(s),is rapid rising like his previous question,,,
NOP,*CHI,I don't know what ?,,,,
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S pron|what-Int-S1 ?,,,,
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|OBJ 6|4|PUNCT,,,,
NOP,*BOB,oh .,,,,
,%mor,intj|oh .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,13,0,,
NOP,*BOB,you [!!] know [!!] what [!!] ?,,,,
,%mor,pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 pron|what-Int-S1 ?,,,,
,%gra,1|2|NSUBJ 2|3|ROOT 3|2|OBJ 4|2|PUNCT,,,,
,%com,"Glo leaves table Bob initiates s a , but doesn't follow through .",,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,oh I'll have a ride .,,,,
,%mor,intj|oh pron|I-Prs-Nom-S1~aux|will-Fin-S verb|have-Inf-S det|a-Ind-Art noun|ride .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT,,,,
,%com,Glo speaks quickly as she gets on car,,,,
NOP,*BOB,alright I'll ride in just a minute .,,,,
,%mor,intj|alright pron|I-Prs-Nom-S1~aux|will-Fin-S verb|ride-Inf-S adp|in adv|just det|a-Ind-Art noun|minute .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|8|ROOT 5|4|COMPOUND-PRT 6|8|ADVMOD 7|8|DET 8|4|OBL 9|4|PUNCT,,,,
,%com,Bob comes to car takes wheel and is going to get on,,,,
NOP,*CHI,no .,,,,
,%mor,intj|no .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo protests loud and clear,,,,
,%par,loud,,,,
NOP,*BOB,why ?,,,,
,%mor,adv|why ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Bob backs down .,,,,
NOP,*CHI,cause I got on [!!] it [= car] .,,,,
,%mor,sconj|cause pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1 adp|on pron|it-Prs-Acc-S3 .,,,,
,%gra,1|3|MARK 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
,%tim,0,13,15,,
,%par,<5w> emphatic,,,,
NOP,*BOB,when you gonna be finished ?,,,,
,%mor,adv|when pron|you-Prs-Nom-S2 aux|gonna-Fin-S aux|be-Inf-S verb|finish-Part-Past-S ?,,,,
,%gra,1|5|ADVMOD 2|5|NSUBJ-PASS 3|5|AUX 4|5|AUX-PASS 5|5|ROOT 6|5|PUNCT,,,,
,%com,for the next 1 line(s),Glo steers and Bob goes to light switch as he asks . he starts clicking switch,,,
NOP,*BOB,when ?,,,,
,%mor,adv|when ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,oh you're gonna be in trouble .,,,,
,%mor,intj|oh pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 part|gonna aux|be-Inf-S adp|in noun|trouble .,,,,
,%gra,1|7|DISCOURSE 2|7|NSUBJ 3|7|AUX 4|7|ADVMOD 5|7|COP 6|7|CASE 7|7|ROOT 8|7|PUNCT,,,,
,%com,Glo responds and both look at lights . Bob desists,,,,
NOP,*CHI,&~tend that was fun doing .,,,,
,%mor,pron|that-Dem-S1 aux|be-Fin-Ind-Past-S3 adj|fun-Pos-S1 verb|do-Ger-S .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,,,
,%tim,0,13,30,,
,%com,Bob jumps yells happily and reaches for light again . pause . referent is to turning on and off light .,,,,
NOP,*BOB,I hafta go to the bathroom .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-S verb|go-Inf-S adp|to det|the-Def-Art noun|bathroom .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|6|CASE 5|6|DET 6|3|OBL 7|3|PUNCT,,,,
,%com,Bob sits on stool .,,,,
,%par,<bef .> shriek,,,,
NOP,*CHI,&-umk .,,,,
NOP,*CHI,&~u .,,,,
,%com,"Glo gets off car , walks away and Bob gets on to car right away Glo stands quietly near car looking at floor .",,,,
,%par,<1w> whisper,,,,
NOP,*BOB,there .,,,,
,%mor,adv|there .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,13,45,,
NOP,*BOB,there's my car .,,,,
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|car .,,,,
,%gra,1|2|EXPL 2|4|ROOT 3|4|NMOD-POSS 4|2|NSUBJ 5|2|PUNCT,,,,
,%com,is joyous . getting back on car .,,,,
,%par,<bef> sing,,,,
NOP,*BOB,hey wait a minute mother .,,,,
,%mor,intj|hey verb|wait-Fin-Imp-S det|a-Ind-Art noun|minute noun|mother .,,,,
,%gra,1|2|DISCOURSE 2|5|ROOT 3|4|DET 4|5|COMPOUND 5|2|OBJ 6|2|PUNCT,,,,
,%com,more quiet and directed,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Bob looks and listens they both are quiet,,,,
NOP,*BOB,d(o) ya hear that sound ?,,,,
,%mor,aux|do-Fin-Imp-S pron|you-Prs-Nom-S2 verb|hear-Inf-S det|that-Def-Dem noun|sound ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
NOP,*CHI,hm ?,,,,
,%mor,intj|hm ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo a little abstracted Bob listening .,,,,
NOP,*BOB,quiet .,,,,
,%mor,adj|quiet-Pos-S1 .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,14,0,,
,%com,Bob reaches to touch her hand just as door opens and both turn to sally,,,,
NOP,*BOB,see .,,,,
,%mor,verb|see-Fin-Imp-S .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,yeah quiet .,,,,
,%mor,intj|yeah adj|quiet-Pos-S1 .,,,,
,%gra,1|2|DISCOURSE 2|2|ROOT 3|2|PUNCT,,,,
,%tim,0,14,15,,
,@End,,,,,
